frame,speed_kmh,fps,kept
0,16.15,13.03,1
1,17.03,13.65,0
2,16.85,13.07,0
3,17.16,13.58,0
4,16.91,12.91,0
5,18.96,12.28,1
6,18.5,12.07,0
7,18.58,11.55,0
8,17.8,9.96,0
9,18.68,10.19,0
10,18.06,11.02,1
11,16.88,11.09,0
12,16.02,12.87,0
13,15.52,13.09,0
14,14.64,12.68,0
15,14.59,13.05,1
16,13.74,12.85,0
17,14.11,13.43,0
18,13.34,12.45,0
19,13.29,11.77,0
20,14.53,10.82,1
21,13.42,11.34,0
22,13.3,10.19,0
23,14.95,10.06,0
24,14.05,9.82,0
25,16.08,11.46,1
26,17.13,12.02,0
27,17.17,12.93,0
28,17.65,13.83,0
29,16.83,13.54,0
30,18.68,13.31,1
31,18.72,12.43,0
32,17.77,12.78,0
33,19.45,12.26,0
34,17.26,11.56,0
35,16.55,9.91,1
36,15.94,11.18,0
37,16.45,10.83,0
38,16.01,10.59,0
39,15.47,11.14,0
40,14.44,10.97,1
41,13.68,12.75,0
42,14.31,12.96,0
43,13.04,12.88,0
44,12.77,14.46,0
45,14.42,13.98,1
46,13.92,13.07,0
47,14.46,12.05,0
48,15.03,10.78,0
49,14.88,10.85,0
50,15.51,10.79,1
51,16.84,10.47,0
52,16.68,10.78,0
53,17.78,11.4,0
54,17.96,11.38,0
55,17.6,13.02,1
56,19.06,13.65,0
57,17.71,13.24,0
58,18.48,13.12,0
59,18.09,14.26,0
60,18.39,13.26,1
61,16.43,10.88,0
62,16.19,11.33,0
63,15.83,10.34,0
64,15.39,10.09,0
65,15.23,10.19,1
66,14.41,10.83,0
67,13.86,11.26,0
68,14.21,11.33,0
69,14.76,12.09,0
70,12.75,12.13,1
71,13.77,13.41,0
72,14.58,13.6,0
73,14.64,13.61,0
74,16.0,13.15,0
75,15.55,12.06,1
76,15.77,11.16,0
77,17.5,11.9,0
78,15.85,10.08,0
79,17.67,9.86,0
80,19.5,10.6,1
81,18.48,11.45,0
82,18.71,12.68,0
83,17.79,12.42,0
84,18.08,12.37,0
85,17.6,13.83,1
86,18.29,13.23,0
87,15.99,12.63,0
88,14.32,12.18,0
89,15.6,12.05,0
90,15.71,10.45,1
91,13.87,11.55,0
92,12.79,10.45,0
93,12.98,10.56,0
94,13.76,11.36,0
95,13.21,11.0,1
96,13.76,12.06,0
97,12.65,12.63,0
98,14.21,13.43,0
99,15.54,14.69,0
100,15.51,12.9,1
101,15.68,13.11,0
102,17.53,13.67,0
103,18.04,11.51,0
104,17.63,12.12,0
105,17.8,10.84,1
106,19.22,11.04,0
107,18.17,10.83,0
108,18.29,11.02,0
109,19.22,10.95,0
110,17.86,11.98,1
111,16.95,13.04,0
112,15.49,13.01,0
113,16.08,12.93,0
114,15.39,12.96,0
115,14.48,13.84,1
116,14.9,13.39,0
117,13.15,11.58,0
118,12.7,11.28,0
119,13.04,11.41,0
120,13.5,10.67,1
121,12.78,10.59,0
122,13.29,11.18,0
123,13.93,10.86,0
124,14.94,11.73,0
125,15.12,13.1,1
126,16.75,13.32,0
127,15.45,13.71,0
128,17.57,13.49,0
129,17.44,12.47,0
130,18.43,12.78,1
131,19.5,12.56,0
132,18.4,11.53,0
133,18.48,11.14,0
134,18.62,10.05,0
135,16.95,10.44,1
136,17.66,10.66,0
137,17.19,11.19,0
138,16.01,11.79,0
139,15.86,13.04,0
140,14.95,13.51,1
141,13.89,13.91,0
142,13.13,14.34,0
143,14.21,13.19,0
144,14.53,12.78,0
145,12.99,11.98,1
146,13.84,10.44,0
147,13.19,10.23,0
148,14.06,10.75,0
149,14.56,10.35,0
150,14.77,10.88,1
151,16.03,10.75,0
152,17.28,12.27,0
153,17.59,12.62,0
154,17.43,13.34,0
155,18.97,13.58,1
156,18.49,12.61,0
157,19.5,13.63,0
158,17.6,11.89,0
159,19.5,11.71,0
160,17.71,10.99,1
161,16.64,11.26,0
162,16.15,10.57,0
163,16.74,11.06,0
164,16.1,11.03,0
165,15.45,11.48,1
166,14.79,11.75,0
167,13.31,12.55,0
168,13.58,13.28,0
169,12.1,13.62,0
170,12.94,13.1,1
171,14.0,13.77,0
172,12.75,12.65,0
173,15.71,11.28,0
174,15.56,11.95,0
175,14.7,9.89,1
176,16.44,10.71,0
177,16.96,10.31,0
178,17.12,11.73,0
179,18.06,11.93,0
180,17.93,11.6,1
181,18.34,13.31,0
182,18.79,12.27,0
183,18.71,13.91,0
184,18.43,13.39,0
185,18.1,12.59,1
186,18.02,12.97,0
187,17.37,12.2,0
188,15.59,11.28,0
189,15.22,10.86,0
190,15.95,10.71,1
191,15.47,10.42,0
192,14.41,11.24,0
193,13.57,10.61,0
194,14.04,10.51,0
195,13.91,13.06,1
196,12.69,13.49,0
197,13.92,13.16,0
198,13.43,12.86,0
199,14.49,13.69,0
200,15.36,12.2,1
201,16.99,11.48,0
202,15.31,10.68,0
203,16.95,11.1,0
204,18.09,9.4,0
205,18.48,10.51,1
206,18.87,10.62,0
207,17.89,11.49,0
208,18.39,12.56,0
209,18.01,12.61,0
210,18.76,13.16,1
211,17.44,12.56,0
212,17.0,13.12,0
213,16.51,12.48,0
214,14.98,12.54,0
215,15.47,11.64,1
216,13.94,10.92,0
217,14.24,10.77,0
218,13.34,10.05,0
219,14.28,10.04,0
220,13.52,9.7,1
221,14.75,11.55,0
222,12.49,12.25,0
223,15.03,12.84,0
224,15.21,13.02,0
225,15.44,14.02,1
226,17.2,13.0,0
227,15.64,13.88,0
228,17.22,12.25,0
229,18.36,11.32,0
230,18.4,10.92,1
231,18.1,10.63,0
232,18.87,10.68,0
233,18.23,11.55,0
234,18.12,11.08,0
235,17.62,11.96,1
236,18.22,12.73,0
237,17.25,13.1,0
238,17.98,14.28,0
239,16.36,13.32,0
240,14.35,13.05,1
241,15.15,12.36,0
242,13.54,12.23,0
243,13.65,10.65,0
244,13.67,11.4,0
245,12.85,10.31,1
246,13.27,10.82,0
247,13.39,10.8,0
248,14.24,10.43,0
249,14.58,12.67,0
250,15.12,11.91,1
251,16.82,12.48,0
252,16.74,13.12,0
253,17.27,13.73,0
254,18.21,12.82,0
255,19.1,13.35,1
256,19.14,12.42,0
257,17.84,11.59,0
258,18.81,10.55,0
259,18.81,10.7,0
260,18.65,10.36,1
261,17.57,9.62,0
262,17.18,11.2,0
263,16.02,11.18,0
264,15.71,12.16,0
265,14.62,12.48,1
266,15.51,13.16,0
267,13.94,13.26,0
268,13.3,13.15,0
269,13.78,12.69,0
270,13.57,11.98,1
271,13.14,12.15,0
272,13.98,11.27,0
273,13.72,10.9,0
274,14.86,11.14,0
275,15.09,10.37,1
276,15.84,11.28,0
277,16.11,11.39,0
278,16.54,11.91,0
279,17.64,13.59,0
280,16.99,12.91,1
281,19.1,14.72,0
282,18.18,14.51,0
283,19.5,11.81,0
284,18.78,12.75,0
285,18.06,11.2,1
286,17.35,11.31,0
287,17.52,10.71,0
288,16.91,9.21,0
289,16.28,10.7,0
290,15.9,11.74,1
291,14.89,11.82,0
292,15.0,13.31,0
293,13.45,12.6,0
294,13.51,14.31,0
295,13.88,13.48,1
296,13.07,12.66,0
297,13.75,13.16,0
298,14.97,13.13,0
299,14.55,11.7,0
300,14.75,11.13,1
301,16.31,10.68,0
302,15.57,9.41,0
303,16.66,11.69,0
304,18.05,12.07,0
305,17.42,12.48,1
306,18.38,12.62,0
307,18.4,13.04,0
308,19.44,13.22,0
309,17.55,14.29,0
310,17.83,13.73,1
311,17.58,12.29,0
312,17.51,12.02,0
313,17.05,11.77,0
314,16.35,10.73,0
315,16.33,10.97,1
316,15.29,11.51,0
317,13.6,11.69,0
318,13.08,11.49,0
319,13.34,11.31,0
320,13.2,12.92,1
321,13.26,12.4,0
322,14.32,13.15,0
323,13.62,13.16,0
324,15.09,13.19,0
325,15.64,13.02,1
326,15.57,12.78,0
327,15.86,11.73,0
328,17.56,10.17,0
329,16.84,10.92,0
330,18.11,10.91,1
331,18.35,11.13,0
332,19.2,10.83,0
333,18.72,11.7,0
334,18.44,12.23,0
335,18.83,13.47,1
336,17.6,12.47,0
337,17.69,13.26,0
338,16.87,13.97,0
339,16.2,12.6,0
340,14.67,12.89,1
341,14.96,11.95,0
342,13.83,10.02,0
343,14.32,10.16,0
344,15.11,11.47,0
345,13.39,9.86,1
346,14.06,10.87,0
347,14.26,11.86,0
348,13.25,12.6,0
349,14.79,13.87,0
350,14.69,12.92,1
351,15.2,13.56,0
352,16.58,13.66,0
353,16.37,12.65,0
354,16.97,11.73,0
355,18.22,11.28,1
356,18.92,10.33,0
357,18.44,10.58,0
358,18.9,11.05,0
359,17.59,10.47,0
